study_accession	parent_study_accession	tax_id
PRJNA866103		
PRJNA919051		
PRJDB13217		410661
PRJEB13092		
PRJEB14756		
PRJEB15662		
PRJEB24174		
PRJEB29232		
PRJEB29731		
PRJEB30296		
PRJEB31003		
PRJEB31015		
PRJEB31464		
PRJEB32577		
PRJEB3414		
PRJEB40425		
PRJEB43699		
PRJEB47616		
PRJEB55157		
PRJEB6375		
PRJNA1008784		
PRJNA256123		408170
PRJNA437010		
PRJNA559398		
PRJNA561398		
PRJNA609407		
PRJNA718207		410661
PRJNA723003		
PRJNA723171		
PRJNA770849		410661
PRJNA796738		
PRJNA846293		1602388
PRJNA850541		
PRJNA904819		410661
PRJNA905333		
PRJNA905366	PRJNA9559	10090
PRJDB10154		410661
PRJDB10485		408170
PRJDB11475		410661
PRJDB4525		408170
PRJDB5460		410661
PRJDB6474		410661
PRJDB7033		410661
PRJDB7246		410661
PRJDB8652		410661
PRJEB3148		
PRJEB32323		
PRJEB32628		
PRJEB3335		
PRJEB40311		
PRJEB40819		
PRJEB41481		
PRJEB46788		
PRJEB51877		
PRJEB52027		
PRJEB52295		
PRJEB53430		
PRJEB53496		
PRJEB53649		
PRJEB54027		
PRJEB59886		
PRJEB60032		
PRJEB61476		
PRJEB62405		
PRJNA162623		749906
PRJNA176441		749906
PRJNA179439		410661
PRJNA19729	PRJNA20077	408170
PRJNA226433		1202446
PRJNA295954		410661
PRJNA322196	PRJNA9559	10090
PRJNA330588		1510822
PRJNA337869		433724
PRJNA351780		
PRJNA351786		
PRJNA351794		
PRJNA353948		749906
PRJNA354495		749906
PRJNA392113	PRJNA391044;PRJNA9558	9606
PRJNA431446		408170
PRJNA483931		
PRJNA487705		
PRJNA488488	PRJNA9557	7955
PRJNA507247		
PRJNA509477		
PRJNA517544		749906
PRJNA518074		
PRJNA518710		
PRJNA574270		1510822
PRJNA593356		433724
PRJNA595721		410661
PRJNA596546		
PRJNA634528		
PRJNA636965		
PRJNA647872		749906
PRJNA648698		410661
PRJNA649014		749906
PRJNA669448		408170
PRJNA742765		
PRJNA753804		410661
PRJNA756700		9606
PRJNA756701	PRJNA756700;PRJNA9558	9606
PRJNA760651		
PRJNA766775		
PRJNA774346		
PRJNA774758		
PRJNA775472		
PRJNA788153	PRJNA9558	9606
PRJNA788901		
